No. de cuenta,Programa
13023113,Especialidad en Derecho de Amparo
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho de la Empresa
13023113,Especialidad en Derecho Procesal Civil y Mercantil
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Ciencias Jurídicas
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Administrativo
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Constitucional y Derechos Humanos
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13023113,Maestría en Derecho Fiscal
13024116,Maestría en Instituciones de Derecho Financiero
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13023113,Maestría en Derecho Procesal Constitucional
13024116,Maestría en Derecho de la Empresa
13023113,Maestría en Derecho Laboral
13023113,Maestría en Derecho Laboral
13023113,Maestría en Derecho Laboral
13023113,Maestría en Derecho Laboral
13023113,Doctorado en Derecho
13023113,Doctorado en Derecho
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Administración de Proyectos
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Finanzas
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Mercadotecnia Estratégica
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Negocios Internacionales
12011101,Maestría en Impuestos
12011101,Maestría en Impuestos
12011101,Maestría en Impuestos
12011101,Maestría en Impuestos
12011101,Maestría en Impuestos
12011101,Maestría en Impuestos
12011101,Maestría en Impuestos
12011101,Maestría Internacional en Finanzas
12011101,Doctorado en Ciencias Empresariales
12011101,Doctorado en Ciencias Empresariales
12011101,Doctorado en Ciencias Empresariales
12054105,Diplomado Wellness
12054104,Especialidad en Emprendedores de Negocios de Alimentos y Bebidas
12054104,Especialidad en Emprendedores de Negocios de Alimentos y Bebidas
12054103,Especialidad en Gestión de Eventos
12054103,Especialidad en Gestión de Eventos
12054103,Especialidad en Gestión de Eventos
12054103,Especialidad en Gestión de Eventos
12054103,Especialidad en Gestión de Eventos
12054105,Maestría en Dirección de Instituciones de Salud
12054105,Maestría en Dirección de Instituciones de Salud
13064103,Maestría en Historia del Pensamiento
,Maestría en Anticorrupción
,Maestría en Gobierno y Políticas Públicas
14033103,Optativas
14033103,Optativas
14033103,Optativas
14033103,Optativas
14033103,Optativas
14033103,Optativas
14033103,Optativas
,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
14033103,Especialidad en Dirección de Operaciones
,Especialidad en Dirección de Operaciones
,Especialidad en Ingeniería y Gestión Ambiental
14033103,Especialidad en Ingeniería y Gestión Ambiental
,Especialidad en Ingeniería y Gestión Ambiental
,Especialidad en Ingeniería y Gestión Ambiental
14033103,Especialidad en Ingeniería y Gestión Ambiental
14033103,Especialidad en Ingeniería y Gestión Ambiental
,Especialidad en Ingeniería y Gestión Ambiental
,Especialidad en Ingeniería y Gestión Ambiental
14033103,Especialidad en Ingeniería y Gestión de Proyectos
14033103,Especialidad en Ingeniería y Gestión de Proyectos
14033103,Especialidad en Ingeniería y Gestión de Proyectos
,Especialidad en Ingeniería y Gestión de Proyectos
,Especialidad en Ingeniería y Gestión de Proyectos
14033103,Especialidad en Ingeniería y Gestión de Proyectos
14033103,Especialidad en Ingeniería y Gestión de Proyectos
14033103,Especialidad en Ingeniería y Gestión de Proyectos
,Especialidad en Ingeniería y Gestión de Proyectos
14033103,Especialidad en Logística Internacional
,Especialidad en Logística Internacional
14033103,Especialidad en Logística Internacional
,Especialidad en Logística Internacional
14033103,Especialidad en Logística Internacional
,Especialidad en Logística Internacional
14033103,Especialidad en Logística Internacional
,Especialidad en Logística Internacional
,Especialidad en Robótica y Manufactura
14033103,Especialidad en Robótica y Manufactura
14033103,Especialidad en Robótica y Manufactura
,Especialidad en Robótica y Manufactura
,Especialidad en Simuladores Gráficos
,Especialidad en Simuladores Gráficos
14033103,Especialidad en Simuladores Gráficos
14033103,Especialidad en Simuladores Gráficos
,Especialidad en Simuladores Gráficos
,Maestría en Ciencia de Datos
14033103,Maestría en Ciencia de Datos
,Maestría en Ciencia de Datos
,Maestría en Ciencia de Datos
14033103,Maestría en Ciencia de Datos
,Maestría en Dirección de Operaciones
,Maestría en Dirección de Operaciones
14033103,Maestría en Dirección de Operaciones
14033103,Maestría en Dirección de Operaciones
14033103,Maestría en Dirección de Operaciones
14033103,Maestría en Dirección de Operaciones
14033103,Maestría en Dirección de Operaciones
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Maestría en Ingeniería y Gestión de la Cadena de Suministro
14033103,Doctorado en Inteligencia Artificial
14033103,Doctorado en Inteligencia Artificial
13043108,Especialidad en Desarrollo del Talento Humano
13044104,Maestría en Dirección de Capital Humano
13044104,Maestría en Dirección de Capital Humano
13044104,Maestría en Dirección de Capital Humano
13044111,Maestría en Dirección de Instituciones Educativas
13014101,Especialidad en Publicidad y Creación de Contenidos
13014101,Especialidad en Publicidad y Creación de Contenidos
13014101,Especialidad en Publicidad y Creación de Contenidos
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Publicidad y Relaciones Públicas
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Especialidad en Relaciones Públicas y Reputación de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicaciones de Marca
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Comunicación Institucional
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Narrativa y Producción Audiovisual
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
13014101,Maestría en Comunicación Política y Pública
,
,
,
,
,
,TOTAL
,Total Mixcoac
,Total Santa Fe
,
,DIFERENCIA
,
,
Total,TOTAL POR ESCUELA / FACULTAD
#REF!,Comunicación
#REF!,Derecho
#REF!,Empresariales
#REF!,ESDAI
#REF!,Filosofía
#REF!,Gobierno y Economía
#REF!,Ingeniería
#REF!,Pedagogía