"no_clase","nombre_modulo","dia","fecha","hora_inicio","hora_fin","programa","num_servicios","salon","escuela"
"1577","Temas Selectos de Filosofía I","Lunes","2023-03-20","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Miercoles","2023-03-29","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Miercoles","2023-03-15","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Lunes","2023-05-15","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Lunes","2023-04-24","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Lunes","2023-05-08","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Lunes","2023-03-27","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Miercoles","2023-04-19","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Miercoles","2023-05-03","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Lunes","2023-03-13","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Miercoles","2023-03-22","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Lunes","2023-04-17","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1577","Temas Selectos de Filosofía I","Miercoles","2023-04-26","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-01-23","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-02-01","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-02-13","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-01-25","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-02-06","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-02-15","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-02-27","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-02-22","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-03-06","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-01-18","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-01-30","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-01-16","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-02-08","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Lunes","2023-02-20","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1580","Historia de la Cultura Moderna","Miercoles","2023-03-01","19:00:00","21:30:00","Maestría en Historia del Pensamiento",12,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Lunes","2023-01-23","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Miercoles","2023-02-15","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Miercoles","2023-02-01","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Lunes","2023-02-13","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Miercoles","2023-02-22","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Miercoles","2023-01-18","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Lunes","2023-01-30","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Lunes","2023-02-20","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Miercoles","2023-02-08","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Miercoles","2023-01-25","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Lunes","2023-03-06","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1574","Historia de la Cultura Antigua","Lunes","2023-01-16","19:00:00","21:30:00","Maestría en Historia del Pensamiento",16,NULL,"Filosofía"
"1395","Temas Selectos de Filosofía Na","Viernes","2023-02-24","11:00:00","13:00:00","Maestría en Filosofía Antigua",9,"R 15","Filosofía"
"1397","Seminario Sobre la Recepción Á","Miercoles","2023-02-22","10:00:00","12:00:00","Maestría en Filosofía Antigua",9,"R 15","Filosofía"
"1400","Seminario de Investigación y T","Jueves","2023-03-16","16:00:00","18:00:00","Maestría en Filosofía Antigua",4,NULL,"Filosofía"
"1399","Propedéutica de la Investigaci","Jueves","2023-03-06","18:30:00","20:30:00","Maestría en Filosofía Antigua",5,NULL,"Filosofía"
"1398","Introducción a la Traducción","Martes","2023-01-31","13:30:00","15:00:00","Maestría en Filosofía Antigua",3,"R 15","Filosofía"
"1398","Introducción a la Traducción","Jueves","2023-01-31","13:30:00","15:00:00","Maestría en Filosofía Antigua",3,"R 15","Filosofía"
"1396","Introducción al Griego Clásico","Martes","2023-01-31","17:00:00","18:30:00","Maestría en Filosofía Antigua",5,NULL,"Filosofía"
"1396","Introducción al Griego Clásico","Jueves","2023-01-31","17:00:00","18:30:00","Maestría en Filosofía Antigua",5,NULL,"Filosofía"
"8785","Temas Selectos de Dirección de","Miercoles","2023-01-18","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",4,NULL,"Pedagogía"
"8785","Temas Selectos de Dirección de","Jueves","2023-01-26","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",4,NULL,"Pedagogía"
"8785","Temas Selectos de Dirección de","Lunes","2023-01-16","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",4,NULL,"Pedagogía"
"1194","Funcionalidad visual y eficaci","Martes","2023-01-10","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Miercoles","2023-01-10","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Jueves","2023-01-10","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Lunes","2023-01-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Martes","2023-01-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Miercoles","2023-01-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Jueves","2023-01-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1194","Funcionalidad visual y eficaci","Viernes","2023-01-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-23","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-02","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-09","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-30","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-02","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-09","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-30","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1193","Atención a los alumnos con tal","Martes","2023-05-23","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1174","Dificultades lingüísticas y su","Martes","2023-02-28","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1174","Dificultades lingüísticas y su","Martes","2023-02-07","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1174","Dificultades lingüísticas y su","Martes","2023-01-24","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1174","Dificultades lingüísticas y su","Martes","2023-02-14","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1174","Dificultades lingüísticas y su","Martes","2023-01-31","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1174","Dificultades lingüísticas y su","Martes","2023-02-21","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1172","Comunicación y Persuasión","Lunes","2023-01-16","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Pedagogía"
"1172","Comunicación y Persuasión","Martes","2023-01-16","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Pedagogía"
"1172","Comunicación y Persuasión","Miercoles","2023-01-16","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Pedagogía"
"1172","Comunicación y Persuasión","Jueves","2023-01-16","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Pedagogía"
"1172","Comunicación y Persuasión","Viernes","2023-01-20","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,NULL,"Pedagogía"
"1192","Currículo e inclusión educativ","Martes","2023-03-21","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1192","Currículo e inclusión educativ","Martes","2023-03-14","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1192","Currículo e inclusión educativ","Martes","2023-04-18","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1192","Currículo e inclusión educativ","Martes","2023-03-07","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1192","Currículo e inclusión educativ","Martes","2023-03-28","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1192","Currículo e inclusión educativ","Martes","2023-04-25","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-09","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-30","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-02","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-23","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1257","Funcionalidad auditiva para ha","Martes","2023-05-16","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-07","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-28","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-14","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-04-18","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-03-21","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1208","Procesos de memoria y aprendiz","Martes","2023-04-25","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-01-24","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-14","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-07","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-28","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-01-31","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1254","Lateralidad y rendimiento esco","Martes","2023-02-21","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Pedagogía"
"1441","Selección de Materiales para","Sábado","2022-11-26","08:00:00","14:00:00","Especialidad en Desarrollo del Talento Humano",8,"R 20","Pedagogía"
