"no_clase","nombre_modulo","fecha","dia","hora_inicio","hora_fin","programa","num_servicios","salon","isla","sede","escuela"
"8784","Temas Selectos de Dirección de","2023-01-16","Lunes","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Santa Fe","Santa Fe","Pedagogía"
"8784","Temas Selectos de Dirección de","2023-01-23","Lunes","17:00:00","21:30:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Santa Fe","Santa Fe","Pedagogía"
"8784","Temas Selectos de Dirección de","2023-01-18","Miercoles","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Santa Fe","Santa Fe","Pedagogía"
"8784","Temas Selectos de Dirección de","2023-01-25","Miercoles","17:00:00","21:30:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Santa Fe","Santa Fe","Pedagogía"
"8784","Temas Selectos de Dirección de","2023-01-19","Jueves","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Santa Fe","Santa Fe","Pedagogía"
"1375","Analítica de Datos","2023-05-20","Sábado","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1375","Analítica de Datos","2023-05-27","Sábado","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1360","Comunicación Organizacional","2023-02-11","Sábado","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",6,"R 01","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1360","Comunicación Organizacional","2023-01-07","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",6,"R 01","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1376","Persona, Organización y Cultur","2023-01-07","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",11,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1376","Persona, Organización y Cultur","2023-02-11","Sábado","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",11,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1365","Relaciones Laborales y Segurid","2023-05-27","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1365","Relaciones Laborales y Segurid","2023-05-20","Sábado","11:00:00","11:00:00","Maestría en Dirección del Capital Humano",12,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1369","Control Integral del Talento H","2023-02-11","Sábado","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1369","Control Integral del Talento H","2023-02-18","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1371","Gestión del Cambio","2023-05-20","Sábado","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",10,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1371","Gestión del Cambio","2023-04-15","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",10,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1377","Dirección Estratégica","2023-02-11","Sábado","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1377","Dirección Estratégica","2023-02-18","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 21","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1361","Evaluación del Capital Humano","2023-02-11","Sábado","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 01","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1361","Evaluación del Capital Humano","2023-02-18","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 01","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1368","Competencias Directivas y de L","2023-02-11","Sábado","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1368","Competencias Directivas y de L","2023-01-07","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1387","Formación del Talento Humano","2023-05-27","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",16,"R 06","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1387","Formación del Talento Humano","2023-05-20","Sábado","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",16,"R 06","Aula Magna / Comedor Invitados","Mixcoac","Empresariales"
"1362","Atracción, Retención y Desarro","2023-04-15","Sábado","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",23,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1362","Atracción, Retención y Desarro","2023-05-20","Sábado","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",23,"R 44","Explanada de Biblioteca","Mixcoac","Empresariales"
"1172","Comunicación y Persuasión","2023-02-10","Viernes","18:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"JEREZ 01","Jerez / Zona Cielito","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-02-10","Sábado","09:00:00","12:00:00","Maestría en Neuropsicología y Educación",20,"JEREZ 01","Jerez / Zona Cielito","Mixcoac","Pedagogía"
"10653","Finanzas Públicas","2023-01-13","Viernes","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"10653","Finanzas Públicas","2023-01-14","Sábado","09:00:00","14:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"10653","Finanzas Públicas","2023-02-11","Sábado","09:00:00","14:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"10653","Finanzas Públicas","2023-02-10","Viernes","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"10653","Finanzas Públicas","2023-02-04","Sábado","09:00:00","14:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"10653","Finanzas Públicas","2023-02-03","Viernes","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,"SF_6-4","Santa Fe","Santa Fe","Gobierno y Economía"
"1441","Selección de Materiales para","2023-01-16","Lunes","19:00:00","22:00:00","Especialidad en Desarrollo del Talento Humano",8,"V_LAB_COM2","Jerez / Zona Cielito","Mixcoac","Pedagogía"
"1441","Selección de Materiales para","2023-03-21","Martes","19:00:00","22:00:00","Especialidad en Desarrollo del Talento Humano",8,"V_LAB_COM2","Jerez / Zona Cielito","Mixcoac","Pedagogía"
"1395","Temas Selectos de Filosofía Na","2023-02-24","Viernes","11:00:00","13:00:00","Maestría en Filosofía Antigua",9,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1397","Seminario Sobre la Recepción Á","2023-02-22","Miercoles","10:00:00","12:00:00","Maestría en Filosofía Antigua",9,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1398","Introducción a la Traducción","2023-01-31","Martes","13:30:00","15:00:00","Maestría en Filosofía Antigua",3,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1398","Introducción a la Traducción","2023-01-31","Jueves","13:30:00","15:00:00","Maestría en Filosofía Antigua",3,"R 15","Aula Magna / Comedor Invitados","Mixcoac","Filosofía"
"1194","Funcionalidad visual y eficaci","2023-01-10","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-10","Miercoles","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-10","Jueves","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Lunes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Miercoles","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Jueves","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1194","Funcionalidad visual y eficaci","2023-01-16","Viernes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 05","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-23","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-02","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-09","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-30","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-02","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-09","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-30","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1193","Atención a los alumnos con tal","2023-05-23","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-01-24","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-01-31","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1174","Dificultades lingüísticas y su","2023-02-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Lunes","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Martes","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Miercoles","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1172","Comunicación y Persuasión","2023-01-16","Jueves","16:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-04-18","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-03-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1192","Currículo e inclusión educativ","2023-04-25","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",20,"R 28","Explanada de Biblioteca","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-09","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-30","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-02","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-23","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1257","Funcionalidad auditiva para ha","2023-05-16","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-04-18","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-03-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1208","Procesos de memoria y aprendiz","2023-04-25","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 13","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-01-24","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-14","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-07","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-28","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-01-31","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1254","Lateralidad y rendimiento esco","2023-02-21","Martes","16:00:00","20:00:00","Maestría en Neuropsicología y Educación",25,"R 16","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
"1441","Selección de Materiales para","2022-11-26","Sábado","08:00:00","14:00:00","Especialidad en Desarrollo del Talento Humano",8,"R 20","Aula Magna / Comedor Invitados","Mixcoac","Pedagogía"
